2026-05-08 05:02:30,594 [INFO] Epoch 42 | Reward=26.98 | Success=98.75% | DepDelay=17.89ms | Fail=1/80 | TopFail=[('no_candidates', 1)]
2026-05-08 05:10:49,322 [INFO] Epoch 43 | Reward=27.01 | Success=98.75% | DepDelay=16.33ms | Fail=1/80 | TopFail=[('no_candidates', 1)]
2026-05-08 05:20:32,858 [INFO] Epoch 44 | Reward=27.44 | Success=100.00% | DepDelay=12.69ms | Fail=0/80 | TopFail=[]
2026-05-08 05:28:26,156 [INFO] Epoch 45 | Reward=27.36 | Success=100.00% | DepDelay=14.77ms | Fail=0/80 | TopFail=[]
2026-05-08 05:35:58,778 [INFO] Epoch 46 | Reward=27.26 | Success=100.00% | DepDelay=18.50ms | Fail=0/80 | TopFail=[]
2026-05-08 05:44:02,380 [INFO] Epoch 47 | Reward=27.27 | Success=100.00% | DepDelay=18.58ms | Fail=0/80 | TopFail=[]
2026-05-08 05:53:15,886 [INFO] Epoch 48 | Reward=26.83 | Success=97.50% | DepDelay=13.55ms | Fail=2/80 | TopFail=[('no_candidates', 2)]
2026-05-08 06:00:49,570 [INFO] Epoch 49 | Reward=27.16 | Success=100.00% | DepDelay=20.38ms | Fail=0/80 | TopFail=[]
2026-05-08 06:07:59,816 [INFO] Epoch 50 | Reward=27.20 | Success=100.00% | DepDelay=20.57ms | Fail=0/80 | TopFail=[]
2026-05-08 11:39:19,602 [INFO] Epoch 1 | Reward=26.53 | Success=100.00% | DepDelay=37.35ms | Fail=0/20 | TopFail=[]
2026-05-08 11:40:45,570 [INFO] Epoch 2 | Reward=26.72 | Success=100.00% | DepDelay=31.50ms | Fail=0/20 | TopFail=[]
2026-05-08 11:42:04,733 [INFO] Epoch 3 | Reward=25.36 | Success=95.00% | DepDelay=34.90ms | Fail=1/20 | TopFail=[('candidate_infeasible', 1)]
2026-05-08 11:43:22,266 [INFO] Epoch 4 | Reward=26.77 | Success=100.00% | DepDelay=30.86ms | Fail=0/20 | TopFail=[]
2026-05-08 11:44:40,135 [INFO] Epoch 5 | Reward=26.48 | Success=100.00% | DepDelay=37.96ms | Fail=0/20 | TopFail=[]
2026-05-08 11:46:00,711 [INFO] Epoch 6 | Reward=26.77 | Success=100.00% | DepDelay=30.93ms | Fail=0/20 | TopFail=[]
2026-05-08 11:50:13,200 [INFO] Epoch 7 | Reward=26.07 | Success=96.25% | DepDelay=23.68ms | Fail=3/80 | TopFail=[('candidate_infeasible', 3)]
2026-05-08 11:57:40,999 [INFO] Epoch 8 | Reward=27.08 | Success=98.75% | DepDelay=13.21ms | Fail=1/80 | TopFail=[('candidate_infeasible', 1)]
2026-05-08 12:03:58,605 [INFO] Epoch 9 | Reward=25.76 | Success=93.75% | DepDelay=17.96ms | Fail=5/80 | TopFail=[('candidate_infeasible', 4), ('no_candidates', 1)]
2026-05-08 12:11:12,509 [INFO] Epoch 10 | Reward=27.26 | Success=100.00% | DepDelay=17.45ms | Fail=0/80 | TopFail=[]
2026-05-08 12:16:26,108 [INFO] Epoch 11 | Reward=26.80 | Success=98.75% | DepDelay=20.39ms | Fail=1/80 | TopFail=[('candidate_infeasible', 1)]
2026-05-08 12:24:14,762 [INFO] Epoch 12 | Reward=26.81 | Success=97.50% | DepDelay=12.68ms | Fail=2/80 | TopFail=[('candidate_infeasible', 2)]
2026-05-08 12:32:35,252 [INFO] Epoch 13 | Reward=26.84 | Success=97.50% | DepDelay=12.78ms | Fail=2/80 | TopFail=[('candidate_infeasible', 2)]
2026-05-08 12:37:45,653 [INFO] Epoch 14 | Reward=26.72 | Success=98.75% | DepDelay=22.34ms | Fail=1/80 | TopFail=[('candidate_infeasible', 1)]
2026-05-08 12:45:11,366 [INFO] Epoch 15 | Reward=26.48 | Success=96.25% | DepDelay=13.82ms | Fail=3/80 | TopFail=[('candidate_infeasible', 3)]
2026-05-08 12:53:30,441 [INFO] Epoch 16 | Reward=26.52 | Success=96.25% | DepDelay=12.40ms | Fail=3/80 | TopFail=[('candidate_infeasible', 3)]
2026-05-08 13:00:14,194 [INFO] Epoch 17 | Reward=26.34 | Success=96.25% | DepDelay=18.45ms | Fail=3/80 | TopFail=[('candidate_infeasible', 3)]
2026-05-08 13:06:01,660 [INFO] Epoch 18 | Reward=26.53 | Success=97.50% | DepDelay=19.57ms | Fail=2/80 | TopFail=[('candidate_infeasible', 2)]
2026-05-08 13:12:42,685 [INFO] Epoch 19 | Reward=26.36 | Success=96.25% | DepDelay=17.26ms | Fail=3/80 | TopFail=[('candidate_infeasible', 3)]
2026-05-08 13:20:31,647 [INFO] Epoch 20 | Reward=25.90 | Success=93.75% | DepDelay=13.24ms | Fail=5/80 | TopFail=[('candidate_infeasible', 5)]
2026-05-08 13:27:14,117 [INFO] Epoch 21 | Reward=26.58 | Success=97.50% | DepDelay=18.49ms | Fail=2/80 | TopFail=[('candidate_infeasible', 1), ('no_candidates', 1)]
2026-05-08 13:33:13,123 [INFO] Epoch 22 | Reward=26.81 | Success=98.75% | DepDelay=19.87ms | Fail=1/80 | TopFail=[('candidate_infeasible', 1)]
2026-05-08 13:41:52,655 [INFO] Epoch 23 | Reward=26.78 | Success=97.50% | DepDelay=13.59ms | Fail=2/80 | TopFail=[('candidate_infeasible', 2)]
2026-05-08 13:50:41,562 [INFO] Epoch 24 | Reward=25.99 | Success=93.75% | DepDelay=10.93ms | Fail=5/80 | TopFail=[('candidate_infeasible', 4), ('no_candidates', 1)]
2026-05-08 13:55:44,495 [INFO] Epoch 25 | Reward=26.94 | Success=100.00% | DepDelay=24.50ms | Fail=0/80 | TopFail=[]
2026-05-08 14:04:35,592 [INFO] Epoch 26 | Reward=27.37 | Success=100.00% | DepDelay=13.83ms | Fail=0/80 | TopFail=[]
2026-05-08 14:11:52,067 [INFO] Epoch 27 | Reward=26.04 | Success=95.00% | DepDelay=17.66ms | Fail=4/80 | TopFail=[('candidate_infeasible', 3), ('no_candidates', 1)]
2026-05-08 14:20:03,130 [INFO] Epoch 28 | Reward=26.37 | Success=96.25% | DepDelay=15.87ms | Fail=3/80 | TopFail=[('candidate_infeasible', 3)]
2026-05-08 14:25:56,121 [INFO] Epoch 29 | Reward=26.79 | Success=98.75% | DepDelay=20.69ms | Fail=1/80 | TopFail=[('candidate_infeasible', 1)]
2026-05-08 14:34:53,822 [INFO] Epoch 30 | Reward=26.22 | Success=95.00% | DepDelay=12.46ms | Fail=4/80 | TopFail=[('candidate_infeasible', 4)]
2026-05-08 14:44:17,061 [INFO] Epoch 31 | Reward=26.82 | Success=97.50% | DepDelay=12.87ms | Fail=2/80 | TopFail=[('candidate_infeasible', 2)]
2026-05-08 14:50:02,004 [INFO] Epoch 32 | Reward=26.09 | Success=96.25% | DepDelay=23.41ms | Fail=3/80 | TopFail=[('candidate_infeasible', 3)]
2026-05-08 14:58:32,752 [INFO] Epoch 33 | Reward=27.37 | Success=100.00% | DepDelay=13.92ms | Fail=0/80 | TopFail=[]
2026-05-08 15:08:03,574 [INFO] Epoch 34 | Reward=26.83 | Success=97.50% | DepDelay=12.59ms | Fail=2/80 | TopFail=[('candidate_infeasible', 2)]
2026-05-08 15:15:29,724 [INFO] Epoch 35 | Reward=26.04 | Success=95.00% | DepDelay=17.32ms | Fail=4/80 | TopFail=[('candidate_infeasible', 4)]
2026-05-08 15:21:56,070 [INFO] Epoch 36 | Reward=26.82 | Success=98.75% | DepDelay=20.60ms | Fail=1/80 | TopFail=[('candidate_infeasible', 1)]
2026-05-08 15:29:29,241 [INFO] Epoch 37 | Reward=26.90 | Success=98.75% | DepDelay=18.58ms | Fail=1/80 | TopFail=[('candidate_infeasible', 1)]
2026-05-08 15:38:29,072 [INFO] Epoch 38 | Reward=27.40 | Success=100.00% | DepDelay=13.05ms | Fail=0/80 | TopFail=[]
2026-05-08 15:46:02,083 [INFO] Epoch 39 | Reward=26.92 | Success=98.75% | DepDelay=17.83ms | Fail=1/80 | TopFail=[('candidate_infeasible', 1)]
2026-05-08 15:52:28,835 [INFO] Epoch 40 | Reward=27.16 | Success=100.00% | DepDelay=18.99ms | Fail=0/80 | TopFail=[]
2026-05-08 16:01:46,588 [INFO] Epoch 41 | Reward=27.14 | Success=98.75% | DepDelay=12.23ms | Fail=1/80 | TopFail=[('candidate_infeasible', 1)]
